id,filing_date,filing_type,filing_json,payment_id,transaction_id,business_id,submitter_id,status,payment_completion_date,paper_only,completion_date,effective_date,source,parent_filing_id,payment_error_type
83770,2017-10-23 00:00:00+00,specialResolution,"{""filing"": {""header"": {""date"": ""2017-10-23"", ""name"": ""specialResolution"", ""historic"": true, ""effectiveDate"": ""2017-10-23"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""cacheId"": 0, ""corpState"": ""ACT"", ""legalName"": ""MERIDIAN GARDENS COOPERATIVE ASSOCIATION"", ""legalType"": ""CP"", ""identifier"": ""CP1000001"", ""lastArDate"": ""2018-08-11"", ""lastAgmDate"": ""2018-08-11"", ""foundingDate"": ""1982-06-08T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-08-29T00:00:00-00:00""}, ""specialResolution"": {""eventId"": 102065205, ""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,89170,2591,,COMPLETED,,t,,2017-10-23 00:00:00+00,LEAR,,
83771,1982-06-08 00:00:00+00,incorporationApplication,"{""filing"": {""header"": {""date"": ""1982-06-08"", ""name"": ""incorporationApplication"", ""historic"": true, ""effectiveDate"": ""1982-06-08"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""cacheId"": 0, ""corpState"": ""ACT"", ""legalName"": ""MERIDIAN GARDENS COOPERATIVE ASSOCIATION"", ""legalType"": ""CP"", ""identifier"": ""CP1000001"", ""lastArDate"": ""2018-08-11"", ""lastAgmDate"": ""2018-08-11"", ""foundingDate"": ""1982-06-08T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-08-29T00:00:00-00:00""}, ""incorporationApplication"": {""eventId"": 101989537, ""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,89171,2591,,COMPLETED,,t,,1982-06-08 00:00:00+00,LEAR,,
83772,2016-01-28 00:00:00+00,changeOfDirectors,"{""filing"": {""header"": {""date"": ""2016-01-28"", ""name"": ""changeOfDirectors"", ""historic"": true, ""effectiveDate"": ""2016-01-28"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""cacheId"": 0, ""corpState"": ""ACT"", ""legalName"": ""MERIDIAN GARDENS COOPERATIVE ASSOCIATION"", ""legalType"": ""CP"", ""identifier"": ""CP1000001"", ""lastArDate"": ""2018-08-11"", ""lastAgmDate"": ""2018-08-11"", ""foundingDate"": ""1982-06-08T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-08-29T00:00:00-00:00""}, ""changeOfDirectors"": {""eventId"": 102008842, ""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,89172,2591,,COMPLETED,,t,,2016-01-28 00:00:00+00,LEAR,,
83773,2016-12-02 00:00:00+00,changeOfDirectors,"{""filing"": {""header"": {""date"": ""2016-12-02"", ""name"": ""changeOfDirectors"", ""historic"": true, ""effectiveDate"": ""2016-12-02"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""cacheId"": 0, ""corpState"": ""ACT"", ""legalName"": ""MERIDIAN GARDENS COOPERATIVE ASSOCIATION"", ""legalType"": ""CP"", ""identifier"": ""CP1000001"", ""lastArDate"": ""2018-08-11"", ""lastAgmDate"": ""2018-08-11"", ""foundingDate"": ""1982-06-08T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-08-29T00:00:00-00:00""}, ""changeOfDirectors"": {""eventId"": 102008843, ""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,89173,2591,,COMPLETED,,t,,2016-12-02 00:00:00+00,LEAR,,
83774,2016-12-02 00:00:00+00,annualReport,"{""filing"": {""header"": {""date"": ""2016-12-02"", ""name"": ""annualReport"", ""historic"": true, ""effectiveDate"": ""2016-12-02"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""cacheId"": 0, ""corpState"": ""ACT"", ""legalName"": ""MERIDIAN GARDENS COOPERATIVE ASSOCIATION"", ""legalType"": ""CP"", ""identifier"": ""CP1000001"", ""lastArDate"": ""2018-08-11"", ""lastAgmDate"": ""2018-08-11"", ""foundingDate"": ""1982-06-08T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-08-29T00:00:00-00:00""}, ""annualReport"": {""eventId"": 102008844, ""annualReportDate"": ""2016-08-31"", ""annualGeneralMeetingDate"": null}}}",,89174,2591,,COMPLETED,,t,,2016-12-02 00:00:00+00,LEAR,,
83775,2017-08-24 00:00:00+00,annualReport,"{""filing"": {""header"": {""date"": ""2017-08-24"", ""name"": ""annualReport"", ""historic"": true, ""effectiveDate"": ""2017-08-24"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""cacheId"": 0, ""corpState"": ""ACT"", ""legalName"": ""MERIDIAN GARDENS COOPERATIVE ASSOCIATION"", ""legalType"": ""CP"", ""identifier"": ""CP1000001"", ""lastArDate"": ""2018-08-11"", ""lastAgmDate"": ""2018-08-11"", ""foundingDate"": ""1982-06-08T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-08-29T00:00:00-00:00""}, ""annualReport"": {""eventId"": 102008846, ""annualReportDate"": ""2017-08-05"", ""annualGeneralMeetingDate"": null}}}",,89175,2591,,COMPLETED,,t,,2017-08-24 00:00:00+00,LEAR,,
83776,2017-08-24 00:00:00+00,changeOfDirectors,"{""filing"": {""header"": {""date"": ""2017-08-24"", ""name"": ""changeOfDirectors"", ""historic"": true, ""effectiveDate"": ""2017-08-24"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""cacheId"": 0, ""corpState"": ""ACT"", ""legalName"": ""MERIDIAN GARDENS COOPERATIVE ASSOCIATION"", ""legalType"": ""CP"", ""identifier"": ""CP1000001"", ""lastArDate"": ""2018-08-11"", ""lastAgmDate"": ""2018-08-11"", ""foundingDate"": ""1982-06-08T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-08-29T00:00:00-00:00""}, ""changeOfDirectors"": {""eventId"": 102008848, ""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,89176,2591,,COMPLETED,,t,,2017-08-24 00:00:00+00,LEAR,,
83777,2017-10-23 00:00:00+00,amendedAnnualReport,"{""filing"": {""header"": {""date"": ""2017-10-23"", ""name"": ""amendedAnnualReport"", ""historic"": true, ""effectiveDate"": ""2017-10-23"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""cacheId"": 0, ""corpState"": ""ACT"", ""legalName"": ""MERIDIAN GARDENS COOPERATIVE ASSOCIATION"", ""legalType"": ""CP"", ""identifier"": ""CP1000001"", ""lastArDate"": ""2018-08-11"", ""lastAgmDate"": ""2018-08-11"", ""foundingDate"": ""1982-06-08T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-08-29T00:00:00-00:00""}, ""amendedAnnualReport"": {""eventId"": 102008845, ""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,89177,2591,,COMPLETED,,t,,2017-10-23 00:00:00+00,LEAR,,
83778,2017-10-23 00:00:00+00,amendedChangeOfDirectors,"{""filing"": {""header"": {""date"": ""2017-10-23"", ""name"": ""amendedChangeOfDirectors"", ""historic"": true, ""effectiveDate"": ""2017-10-23"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""cacheId"": 0, ""corpState"": ""ACT"", ""legalName"": ""MERIDIAN GARDENS COOPERATIVE ASSOCIATION"", ""legalType"": ""CP"", ""identifier"": ""CP1000001"", ""lastArDate"": ""2018-08-11"", ""lastAgmDate"": ""2018-08-11"", ""foundingDate"": ""1982-06-08T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-08-29T00:00:00-00:00""}, ""amendedChangeOfDirectors"": {""eventId"": 102008847, ""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,89178,2591,,COMPLETED,,t,,2017-10-23 00:00:00+00,LEAR,,
83779,2017-11-15 00:00:00+00,changeOfAddress,"{""filing"": {""header"": {""date"": ""2017-11-15"", ""name"": ""changeOfAddress"", ""historic"": true, ""effectiveDate"": ""2017-11-15"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""cacheId"": 0, ""corpState"": ""ACT"", ""legalName"": ""MERIDIAN GARDENS COOPERATIVE ASSOCIATION"", ""legalType"": ""CP"", ""identifier"": ""CP1000001"", ""lastArDate"": ""2018-08-11"", ""lastAgmDate"": ""2018-08-11"", ""foundingDate"": ""1982-06-08T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-08-29T00:00:00-00:00""}, ""changeOfAddress"": {""eventId"": 102008849, ""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,89179,2591,,COMPLETED,,t,,2017-11-15 00:00:00+00,LEAR,,
